stdntid,female,black,asian,hispc,natam,orace,t_smc,t_rgc,t_rga,incit,subur,rural,urban,frpl,spced,math,read,math_std,read_std,school,teacher
10133,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,478,427,-0.209857460279721,-0.343613215587833,19,69
10246,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,494,450,0.125034017758023,0.390629036697885,39,139
10263,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,513,483,0.522717647927843,1.44410705084696,32,110
10266,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,513,456,0.522717647927843,0.582170493815899,68,250
10285,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,520,463,0.669232669569356,0.805635527120248,26,88
10286,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,536,472,1.0041241476071,1.09294771279727,44,160
10289,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,626,545,2.88788871156941,3.42336877439976,72,266
10290,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,454,408,-0.712194677336336,-0.950161163128208,16,56
10291,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,439,422,-1.02615543799672,-0.50323109651951,17,61
10292,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,528,472,0.836678408588228,1.09294771279727,31,108
10295,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,463,437,-0.523818220940105,-0.024377453724477,8,26
10299,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,484,450,-0.0842731560155669,0.390629036697885,14,47
10302,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,576,460,1.84135284270146,0.709864798561241,46,166
10311,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,392,403,-2.00989915473259,-1.10977904405989,67,244
10312,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,444,411,-0.921501851109926,-0.854390434569202,55,199
10313,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,559,490,1.48553064728636,1.66757208415131,39,138
10316,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,576,503,1.84135284270146,2.08257857457367,72,268
10323,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,444,424,-0.921501851109926,-0.439383944146839,67,244
10326,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,459,413,-0.607541090449541,-0.79054328219653,31,108
10329,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,576,495,1.84135284270146,1.82718996508299,72,267
10330,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,528,451,0.836678408588228,0.422552612884221,72,266
10331,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,468,413,-0.419164634053311,-0.79054328219653,40,144
10332,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,429,393,-1.23546261177031,-1.42901480592324,29,103
10333,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,444,398,-0.921501851109926,-1.26939692499156,31,108
10379,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,500,431,0.250618322022177,-0.21591891084249,10,36
10381,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,459,421,-0.607541090449541,-0.535154672705846,52,186
10384,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,536,472,1.0041241476071,1.09294771279727,52,186
10386,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,412,405,-1.59128480718541,-1.04593189168721,52,186
10395,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,468,445,-0.419164634053311,0.231011155766207,10,36
10396,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,489,428,0.020380430871228,-0.311689639401497,60,221
10425,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,489,467,0.020380430871228,0.93332983186559,7,19
10432,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,559,461,1.48553064728636,0.741788374747576,17,58
10433,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,459,398,-0.607541090449541,-1.26939692499156,10,35
10473,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,463,414,-0.523818220940105,-0.758619706010195,49,176
10485,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,434,414,-1.13080902488352,-0.758619706010195,17,61
10486,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,506,451,0.376202626286331,0.422552612884221,17,60
