stname,stabbr,stfips,year,dropage,above16,above17,acgr,unemrate,br1517,cenreg,cenregnm,cendiv,cendivnm,citi6013,inst6013_adacope,inst6014_nom,pop2000,pop2010,pop2000sch,pop2010sch,pop2000_amerind,pop2000_asian,pop2000_black,pop2000_multrace,pop2000_nhpi,pop2000_white,pop2010_amerind,pop2010_asian,pop2010_black,pop2010_multrace,pop2010_nhpi,pop2010_white,pop2000_hisp,pop2010_hisp,medinc_current,medinc_2015,state_pov
Alabama,AL,1,2003,16,0,0,64.7,6,28.5,3,South,6,East South Central,28.70806,30.19643,46.09972,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,37255,48010,15
Alabama,AL,1,2004,16,0,0,65,5.7,28.4,3,South,6,East South Central,39.14338,41.01786,46.09972,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,36629,45961,16.9
Alabama,AL,1,2005,16,0,0,65.9,4.5,25.7,3,South,6,East South Central,40.31812,42.625,46.09972,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,37150,45088,16.7
Alabama,AL,1,2006,16,0,0,66.2,4,27.1,3,South,6,East South Central,40.31423,43.75,46.09972,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,37952,44615,14.3
Alabama,AL,1,2007,16,0,0,67.1,4,28.1,3,South,6,East South Central,47.25583,51.01997,45.21917,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,42212,48254,14.5
Alabama,AL,1,2008,16,0,0,69,5.7,25.8,3,South,6,East South Central,48.36924,52.26786,45.61985,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,44476,48962,14.3
Alabama,AL,1,2009,16,0,0,69.9,11,25.4,3,South,6,East South Central,27.26303,28.91111,42.33328,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,39980,44166,16.6
Alabama,AL,1,2010,17,1,0,71.8,10.5,22.9,3,South,6,East South Central,19.2529,20.48163,41.78271,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,40933,44499,17.2
Alabama,AL,1,2011,17,1,0,72,9.6,20.7,3,South,6,East South Central,36.02374,4.87143,20.54358,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,42590,44884,15.4
Alabama,AL,1,2012,17,1,0,75,8,18.4,3,South,6,East South Central,37.57097,8.6875,19.95599,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,43464,44869,16.2
Alabama,AL,1,2013,17,1,0,80,7.2,15.8,3,South,6,East South Central,35.78529,10.25,19.0589,4447207,4779736,766777,767016,21791,31586,1151729,34639,1078,3130563,26039,53575,1246251,58281,2023,3207965,75821,185602,47320,48150,18.5
Alaska,AK,2,2003,16,0,0,68,7.8,19.8,4,West,9,Pacific,37.05696,19.16667,35.98511,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,51837,66801,9.6
Alaska,AK,2,2004,16,0,0,67.2,7.5,17.6,4,West,9,Pacific,43.06116,23.5,35.98511,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,55063,69092,9.1
Alaska,AK,2,2005,16,0,0,64.1,6.9,17.4,4,West,9,Pacific,40.29357,13.16667,35.98511,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,55891,67833,10
Alaska,AK,2,2006,16,0,0,66.5,6.6,18.6,4,West,9,Pacific,45.08204,16.16667,35.98511,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,56418,66323,8.9
Alaska,AK,2,2007,16,0,0,69.1,6.3,16.3,4,West,9,Pacific,59.80638,35.66667,35.98511,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,62993,72010,7.6
Alaska,AK,2,2008,16,0,0,69.1,6.7,19,4,West,9,Pacific,67.10396,52.06031,39.02507,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,63989,70443,8.2
Alaska,AK,2,2009,16,0,0,72.6,7.7,18.3,4,West,9,Pacific,64.23826,46.58125,42.48138,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,61604,68054,11.7
Alaska,AK,2,2010,16,0,0,75.5,7.9,16.3,4,West,9,Pacific,50.97919,32.89375,42.48138,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,57848,62887,12.5
Alaska,AK,2,2011,16,0,0,68,7.6,13.3,4,West,9,Pacific,55.60345,40.84375,40.47055,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,57431,60525,11.7
Alaska,AK,2,2012,16,0,0,70,7.1,12.3,4,West,9,Pacific,54.5122,40.525,42.48138,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,63648,65705,10
Alaska,AK,2,2013,16,0,0,72,6.9,11,4,West,9,Pacific,60.27676,43,35.44347,626933,710231,133092,123205,96891,25156,21295,28130,3242,426367,102747,37747,22157,44664,7273,456394,25852,39249,72472,73743,9.7
Arizona,AZ,4,2003,16,0,0,75.9,5.7,36.2,4,West,8,Mountain,46.84286,56.96667,54.48121,5130247,6392017,907800,1082405,236056,91299,152119,57614,5870,3291673,258184,172403,240946,109143,11154,3705038,1295616,1895149,41166,53050,13.5
Arizona,AZ,4,2004,16,0,0,66.8,5,36.2,4,West,8,Mountain,47.75082,58.525,54.48121,5130247,6392017,907800,1082405,236056,91299,152119,57614,5870,3291673,258184,172403,240946,109143,11154,3705038,1295616,1895149,43846,55017,14.4
Arizona,AZ,4,2005,16,0,0,84.7,4.7,34.3,4,West,8,Mountain,46.69436,52.875,51.67358,5130247,6392017,907800,1082405,236056,91299,152119,57614,5870,3291673,258184,172403,240946,109143,11154,3705038,1295616,1895149,45245,54912,15.2
Arizona,AZ,4,2006,16,0,0,70.5,4.2,34.9,4,West,8,Mountain,50.14946,54.21875,51.67358,5130247,6392017,907800,1082405,236056,91299,152119,57614,5870,3291673,258184,172403,240946,109143,11154,3705038,1295616,1895149,46657,54848,14.4
Arizona,AZ,4,2007,16,0,0,69.6,3.9,33.4,4,West,8,Mountain,48.69186,56.86111,49.70591,5130247,6392017,907800,1082405,236056,91299,152119,57614,5870,3291673,258184,172403,240946,109143,11154,3705038,1295616,1895149,47215,53973,14.3
