unitid,year,twoyr,fouryr,public,privnp,privfp,openadmp,longitud,latitude,efteug,eftotlt,eftotlw,efwhitt,efdetot,efdesom,upgrntn,upgrntp,pttot,age25o,fips,rucc,ctunemrate,ctwhitepct,ctblackpct,cthisppct,ctasianpct,ctnatamerpct,ctpov100pct,ctmedianinc,cthspct,ctbapct,ctlt5pct,ct5to19pct,ct20to34pct,ct35to60pct,ctgt60pct,ctlandarea,ctpopdens,ctpop,cthhu,stfips,region,stname,statepop,stunemrate,stappropfte,stbapct,stnonwpct,pctbbold,pctbbnew,wmdown
100654,2013,0,1,1,0,0,0,-86.568502,34.783368,3906,4051,2082,113,4051,795,2967,71,252,425,1089,2,9,70.15,23.8,4.28,1.63,0.14,12.7,62.929,85.57,34.75,6.51,20.32,18.81,33.58,20.78,802,433,353.956,156.687,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.85,78.44,7.21278184163922
100663,2012,0,1,1,0,0,0,-86.80917,33.50223,9915,11291,6525,6699,11291,3537,4095,37,3021,2801,1073,1,9.3,53.75,42.13,3.07,1,0.05,18.6,53.234,82.6,26.8,5.01,20.46,20.07,34.75,19.71,1111,592,655.077,300.818,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.82,88.65,7.071371247024
100663,2013,0,1,1,0,0,0,-86.80917,33.50223,10032,11502,6722,6892,11502,3743,3958,35,3145,2786,1073,1,8.6,53.39,41.49,4,1.05,0.07,18.6,53.607,82.71,26.97,7.51,20.61,19.34,33.29,19.25,1111,593,654.489,303.878,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.89,88.78,7.22916471758069
100690,2013,0,1,0,1,0,1,-86.17401,32.362609,294,322,196,94,322,0,225,68,120,275,1101,2,7.3,38.72,54.85,4.27,2.1,0.06,21.3,50.642,81.62,31.83,7.59,21.08,20.06,32.9,18.37,784,289,231.072,104.395,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.91,94.44,7.27822863605476
100706,2012,0,1,1,0,0,0,-86.63842,34.722818,5180,5882,2685,4117,5882,136,1985,33,1432,1530,1089,2,8.8,70.9,23.86,3.47,1.62,0.15,12.7,62.702,85.55,34.71,4.86,20.33,19.2,34.78,20.83,802,428,347.745,153.393,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.8,78.72,6.91900882561126
100706,2013,0,1,1,0,0,0,-86.63842,34.722818,5000,5696,2519,3960,5696,236,1930,33,1459,1504,1089,2,9,70.15,23.8,4.28,1.63,0.14,12.7,62.929,85.57,34.75,6.51,20.32,18.81,33.58,20.78,802,433,353.956,156.687,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.85,78.44,7.15239278603035
100724,2012,0,1,1,0,0,0,-86.295677,32.364317,4743,5130,3054,62,5130,1620,3677,78,447,629,1101,2,9.6,39.64,55.44,2.98,1.9,0.04,21.3,50.458,81.48,31.55,5.32,20.93,20.86,34.24,18.64,784,292,230.375,102.9,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.94,95.96,7.28726179269373
100724,2013,0,1,1,0,0,0,-86.295677,32.364317,5035,5356,3168,86,5356,1135,4240,83,484,680,1101,2,7.3,38.72,54.85,4.27,2.1,0.06,21.3,50.642,81.62,31.83,7.59,21.08,20.06,32.9,18.37,784,289,231.072,104.395,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.91,94.44,7.33184793569164
100751,2012,0,1,1,0,0,0,-87.545766,33.2144,25371,28026,15029,22038,28026,4152,5894,23,2596,2323,1125,3,7.4,68.08,28.91,2.16,0.81,0.05,18,46.548,78.68,24.69,4.41,18.43,22.79,34.59,19.78,1322,150,201.187,88.034,1,3,Alabama,4817.528,10,5795,16.38,24.84,99.68,90.35,8.94702415362227
100751,2013,0,1,1,0,0,0,-87.545766,33.2144,27148,29440,15884,22958,29440,5101,5905,21,2892,2511,1125,3,7.8,67.47,28.81,2.83,0.85,0.05,18,46.61,78.71,24.72,6.21,18.54,21.84,33.86,19.55,1322,152,204.329,89.721,1,3,Alabama,4833.722,9.6,5507,12.73,25.18,99.18,86.61,8.81457608224392
